Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"173","'616","Poland","552","'01355.01","Blueberries","5312","Area harvested","1995","1995","ha","2550.000000","E"
"173","'616","Poland","515","'01341","Apples","5510","Production","1991","1991","tonnes","1145544.000000","A"
"173","'616","Poland","549","'01351.02","Gooseberries","5419","Yield","2016","2016","hg/ha","52361.000000","E"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","2004","2004","tonnes","56835.000000","A"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","1980","1980","tonnes","19507.000000","A"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","2016","2016","tonnes","129063.000000","A"
"173","'616","Poland","552","'01355.01","Blueberries","5419","Yield","1995","1995","hg/ha","44706.000000","E"
"173","'616","Poland","552","'01355.01","Blueberries","5419","Yield","1991","1991","hg/ha","43210.000000","E"
"173","'616","Poland","549","'01351.02","Gooseberries","5312","Area harvested","1996","1996","ha","5800.000000","E"
"173","'616","Poland","549","'01351.02","Gooseberries","5510","Production","2008","2008","tonnes","16156.000000","A"
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","2012","2012","tonnes","127055.000000","A"
"173","'616","Poland","549","'01351.02","Gooseberries","5312","Area harvested","1991","1991","ha","5424.000000","I"
"173","'616","Poland","515","'01341","Apples","5510","Production","1961","1961","tonnes","285000.000000","A"
"173","'616","Poland","515","'01341","Apples","5510","Production","1971","1971","tonnes","563200.000000","A"
"173","'616","Poland","552","'01355.01","Blueberries","5419","Yield","1992","1992","hg/ha","46721.000000","E"
"173","'616","Poland","552","'01355.01","Blueberries","5510","Production","2008","2008","tonnes","7857.000000","A"
